,id,name,event_url,rsvp_limit,yes_rsvp_count,time,venue_id,venue_name,address,city,lat,lon,country,group_id,group_urlname
28,rlfhxqyzjbkc,Krypto-Stammtisch in Nürtingen - Das Bitcoin-Testament,https://www.meetup.com/Krypto-Asset-Stammtisch/events/261346419/,,5,1562864400000,26386871.0,Schlachthof,Mühlstraße 15,Nürtingen,48.630257,9.333,de,25739384,Krypto-Asset-Stammtisch
29,261378115,Atelier d'entraide ,https://www.meetup.com/WordPress-Neuchatel/events/261378115/,,5,1562864400000,26338287.0,Coworking Neuchâtel,Place Numa-Droz 2,Neuchâtel,46.991077,6.932395,ch,31664334,WordPress-Neuchatel
30,gtrlfpyzkbpb,Vinylcutter Intro,https://www.meetup.com/Digitale-Initiativen/events/262890816/,10.0,3,1562866200000,25249856.0,Digitale Initiativen - Mutterschiff,Widagasse 11,Dornbirn,47.417881,9.746881,at,21781853,Digitale-Initiativen
31,nphrdryzkbqb,Crypto Friday - Wine & Vision,https://www.meetup.com/CV-Labs-Switzerland/events/261813583/,90.0,25,1562943600000,25720977.0,Crypto Valley Labs,Dammstrasse 16,Zug,47.175804,8.514732,ch,27342970,CV-Labs-Switzerland
32,262807850,IoT July Meetup,https://www.meetup.com/IoT-Zurich/events/262807850/,,26,1562947200000,26454931.0,Kiosk Josefswiese,Josefstrasse 197,Zürich,47.38628,8.52304,ch,2621682,IoT-Zurich
33,262530721,Breaking a world record using GCP: most accurate value of Pi,https://www.meetup.com/wtm-switzerland/events/262530721/,60.0,28,1562949000000,26209937.0,Google Zürich,Brandschenkestrasse 110,Zürich,47.365547,8.524839,ch,26051944,wtm-switzerland
34,qksddryzkbrb,Open Source Workshop,https://www.meetup.com/Open-Source-Software-Dojo/events/262739271/,20.0,4,1563037200000,26056921.0,Impact Hub Zürich - Colab,Sihlquai 131,Zürich,47.384686,8.533229,ch,31770431,Open-Source-Software-Dojo
35,262574880,1. Treffen 2019 - Drupal User Group Bodensee,https://www.meetup.com/Drupal-User-Group-Bodensee/events/262574880/,30.0,5,1563206400000,26002709.0,Tojio GmbH,Turmstraße 20,Konstanz,47.670784,9.155054,de,30537248,Drupal-User-Group-Bodensee
36,262871673,#13 Stuttgart AI/KI Meetup im Timeout sponsored by NetApp,https://www.meetup.com/Stuttgarter-AI-KI-Meetup/events/262871673/,100.0,48,1563206400000,26496045.0,TimeOut,Wankelstraße 12,Stuttgart,48.737648,9.110275,de,24859535,Stuttgarter-AI-KI-Meetup
37,262653702,Ortenau.IT Meetup #2 / 2019,https://www.meetup.com/Ortenau-IT/events/262653702/,45.0,14,1563208200000,26480955.0,Burda Direct Konferenzraum Helios Building 4. OG,Hubert-Burda-Platz 2,Offenburg,48.467754,7.936258,de,22700959,Ortenau-IT
38,262365772,Azure-IT-Transformation zum Managed Service Provider,https://www.meetup.com/Azure-Stuttgart/events/262365772/,40.0,21,1563292800000,26459499.0,Devoteam GmbH,Industriestraße 3,Stuttgart,48.725742,9.114214,de,20475306,Azure-Stuttgart
39,262991252,Fragen & Antworten rund um TTN und LoRaWAN in gemütlicher Runde,https://www.meetup.com/TTN-Network-Freiburg-LoRaWAN/events/262991252/,,5,1563292800000,26504146.0,Ganter-Biergarten,Leo-Wohleb-Straße 4,Freiburg im Breisgau,47.990326,7.858665,de,26339627,TTN-Network-Freiburg-LoRaWAN
40,262776109,Monkeys at the Lake - As candid as it gets,https://www.meetup.com/Monkey-Club/events/262776109/,,10,1563294600000,,,,,,,,30988183,Monkey-Club
41,262927770,Bitcoin Cash Meetup Zurich,https://www.meetup.com/Bitcoin-Cash-Meetup-Zurich/events/262927770/,,5,1563296400000,25148920.0,Grain,Zürichbergstrasse 71,Zürich,47.376167,8.559378,ch,32172215,Bitcoin-Cash-Meetup-Zurich
42,262123688,"APEXmeetupStuttgart meets Star-Wars, News from Kscope19 and BBQ-Time!",https://www.meetup.com/orclapex-Stuttgart/events/262123688/,,18,1563375600000,23530869.0,Oracle Deutschland,Liebknechtstrasse 35,Stuttgart,48.724377,9.111119,de,14332822,orclapex-Stuttgart
43,262904102,Bitcoiners in the wild #5 // Beer & BBQ,https://www.meetup.com/Bitcoin-Meetup-Zug/events/262904102/,,4,1563379200000,26358773.0,Choller Delta,,Zug,47.17811,8.480682,ch,31763584,Bitcoin-Meetup-Zug
44,262641883,AI/ML - Deep Dive für Anfänger! ,https://www.meetup.com/Computacenter-Stuttgart-Meetups/events/262641883/,,31,1563379200000,26480139.0,Lenovo Executive briefing center,Meitnerstraße,Stuttgart,48.738735,9.10951,de,30880504,Computacenter-Stuttgart-Meetups
45,262582221,Neunter Data Science Stammtisch Allgäu,https://www.meetup.com/Data-Science-Stammtisch-Allgau/events/262582221/,30.0,17,1563381000000,26475386.0,Uhlmann Pac-Systeme GmbH & Co. KG,Uhlmannstraße 14 - 18,Laupheim,48.233376,9.874251,de,26308631,Data-Science-Stammtisch-Allgau
46,262965305,Bitcoin Meetup Zürich,https://www.meetup.com/Bitcoin-Meetup-Switzerland/events/262965305/,,13,1563382800000,26146877.0,Lotti,Werdmühlepl. 3,Zürich,47.37516,8.53978,ch,8278642,Bitcoin-Meetup-Switzerland
47,262707469,Monero Meetup,https://www.meetup.com/Monero-ZRH/events/262707469/,,4,1563382800000,19701172.0,Café Bar Plüsch,Aemtlerstrasse 16,8003 Zürich,47.37135,8.51636,ch,28885530,Monero-ZRH
