,id,rating_count,rating,address_1,city,localized_country_name,lon,lat
61,16922742,32,4.56,Stampfenbachstrasse 60,8006,Switzerland,8.542557,47.381104
62,24134006,0,0.0,Zurich HB,8001 Zürich,Switzerland,8.540197,47.377945
63,24131131,0,0.0,Zurich HB,Zürich,Switzerland,8.540197,47.377945
64,24311373,7,4.43,HB Zurich,Zürich,Switzerland,8.540197,47.377945
65,24131148,0,0.0,Zurich HB,Zürich,Switzerland,8.540197,47.377945
66,24254231,2,4.5,Zurich HB,Zürich,Switzerland,8.540197,47.377945
67,25504011,0,0.0,Stampfenbachstrasse 52/ 56,Zürich,Switzerland,8.542867,47.380699
68,25540615,3,4.67,Stampfenbachstrasse 52,8006,Switzerland,8.542867,47.380699
69,25504003,0,0.0,Stampfenbachstrasse 52,Zürich,Switzerland,8.542867,47.380699
70,25409359,0,0.0,Stampfenbachstrasse 52,Zürich,Switzerland,8.542867,47.380699
71,25414750,1,5.0,"Stampfenbachstrasse 52, Zürich",Zürich,Switzerland,8.542867,47.380699
72,24963700,3,4.67,HB Zurich,Zürich,Switzerland,8.54019,47.377937
73,24897624,0,0.0,Zurich HB,Zürich,Switzerland,8.54019,47.377937
74,24736068,5,4.6,Zürich HB,Zürich,Switzerland,8.54019,47.377937
75,24749662,2,5.0,Zurich main station,Zürich,Switzerland,8.54019,47.377937
76,24831839,1,5.0,Zürich main station,Zürich,Switzerland,8.54019,47.377937
77,24780520,4,5.0,zurich HB,Zürich,Switzerland,8.54019,47.377937
78,24827667,0,0.0,Zürich main station,Zürich,Switzerland,8.54019,47.377937
79,25013287,0,0.0,Zurich HB,Zürich,Switzerland,8.54019,47.377937
80,24570132,0,0.0,Zürich HB,Zürich,Switzerland,8.54019,47.377937
